id,guid,mid,mod,usn,tags,flds,sfld,csum,flags,data
1244304862218,lVr1<AhW*+,1342696092615,1342696094,8, Basic ,先生はジョンを叱った。|The teacher scolded John.|先生[せんせい]はジョンを 叱[しか]った。,先生はジョンを叱った。,2792086609,0,
1244304901890,roTK9q22d7,1342696092615,1342696094,8, Basic ,ジョンは先生に叱られた。|John was scolded by the teacher.|ジョンは 先生[せんせい]に 叱[しか]られた。,ジョンは先生に叱られた。,809771177,0,
1244304974234,m9b(+|h1SH,1342696092615,1342696094,8, Basic ,ビルはマーさをぶった。|Bill hit Martha.|ビルはマーさをぶった。,ビルはマーさをぶった。,2829836800,0,
1244305030734,"j?%^o<Bj,4",1342696092615,1342696094,8, Basic ,マーサはビルにぶたれた。|Martha was hit by Bill.|マーサはビルにぶたれた。,マーサはビルにぶたれた。,766423127,0,
1244305111281,k(dz7Ov:~4,1342696092615,1342696094,8, Basic ,私はメアリーがトムに会った事実を知っている。|I know the fact that Mary met Tom.|私[わたし]はメアリーがトムに 会[あ]った 事実[じじつ]を 知[し]っている。,私はメアリーがトムに会った事実を知っている。,2605332981,0,
1244305227515,sH)Wf70E$W,1342696092615,1342696094,8, Basic ,私はジョンに行って欲しい。|I want John to go there.|私[わたし]はジョンに 行[い]って 欲[ほ]しい。,私はジョンに行って欲しい。,4112241083,0,
1244305270640,q>z4O*)mfl,1342696092615,1342696094,8, Basic ,この辞書は使いやすい。|This dictionary is easy to use.|この 辞書[じしょ]は 使[つか]いやすい。,この辞書は使いやすい。,269756560,0,
1244305302500,m>:CXu(XG9,1342696092615,1342696094,8, Basic ,私はすしが食べたい。|I want to eat sushi.|私[わたし]はすしが 食[た]べたい。,私はすしが食べたい。,1637917340,0,
1244305357125,e=r7Ouy>Y3,1342696092615,1342696094,8, Basic ,ベスは大学を出たらしい。|Beth seems to have graduated from college.|ベスは 大学[だいがく]を 出[で]たらしい。,ベスは大学を出たらしい。,3519628019,0,
1244305395875,dfjw}=4[=N,1342696092615,1342696094,8, Basic ,花子は淋しいようだ。|Hanako looks lonely.|花子[はなこ]は 淋[さび]しいようだ。,花子は淋しいようだ。,1472390253,0,
1244305429078,rWe7!P:yKp,1342696092615,1342696094,8, Basic ,このお菓子はおいしそうだ。|This cake looks delicious.|このお 菓子[かし]はおいしそうだ。,このお菓子はおいしそうだ。,2491097499,0,
1244305463046,?@FF`ikN4,1342696092615,1342696094,8, Basic ,ビルは今手紙を書いている。|Bill is writing a letter now.|ビルは 今[いま] 手紙[てがみ]を 書[か]いている。,ビルは今手紙を書いている。,186888186,0,
1244305548671,quk[FDd4-M,1342696092615,1342696094,8, Basic ,窓が開けてある。|The window has been opened. (=The window is opened.)|窓[まど]が 開[あ]けてある。,窓が開けてある。,2502379801,0,
1244305577593,nBRbRy4!MX,1342696092615,1342696094,8, Basic ,僕は宿題をしてしまった。|I have done my homework.|僕[ぼく]は 宿題[しゅくだい]をしてしまった。,僕は宿題をしてしまった。,3594960371,0,
1244305624656,eS)r1]WUry,1342696092615,1342696094,8, Basic ,私は友達にお金を貸してあげた。|I loaned money to my friend.|私[わたし]は 友達[ともだち]にお 金[かね]を 貸[か]してあげた。,私は友達にお金を貸してあげた。,2061038999,0,
1244305668234,f_xh_}PuI<,1342696092615,1342696094,8, Basic ,このコンピューターは高すぎる。|This computer is too expensive.|このコンピューターは 高[たか]すぎる。,このコンピューターは高すぎる。,8416797,0,
1244305719671,p;~=3k%@u8,1342696092615,1342696094,8, Basic ,ジョージはスポーツカーを欲しがっている。|George wants a sports car.|ジョージはスポーツカーを 欲[ほ]しがっている。,ジョージはスポーツカーを欲しがっている。,4267020427,0,
